Symbiodinium42993	PFAM SMP-30 Gluconolaconase
Symbiodinium24842	alpha-galactosidase
Symbiodinium57890	transmembrane transporter activity
Symbiodinium29926	Enoyl-(Acyl carrier protein) reductase
Symbiodinium47444	Glycosyl transferases group 1
Symbiodinium6763	Polynucleotide
Symbiodinium32115	2-acylglycerol O-acyltransferase activity
Symbiodinium45060	3'5'-cyclic nucleotide phosphodiesterase
Symbiodinium23385	2-acylglycerol O-acyltransferase activity
Symbiodinium889	Aldo/keto reductase family
Symbiodinium54562	InterPro IPR011435
Symbiodinium37123	4-aminobutyrate:pyruvate transaminase activity
Symbiodinium35922	MAP kinase activity
Symbiodinium46318	Catalyzes the hydrolysis of the N-glycosidic bond in the first two intermediates of riboflavin biosynthesis, which are highly reactive metabolites, yielding relatively innocuous products. Thus, can divert a surplus of harmful intermediates into relatively harmless products and pre-empt the damage these intermediates would otherwise do. Helps maintain flavin levels. May act on other substrates in vivo. Has no activity against GTP, nucleoside monophosphates or ADP-ribose. Is Required for swarming motility
Symbiodinium41601	fatty acid amide hydrolase activity
Symbiodinium24451	RAC-beta serine threonine protein
Symbiodinium43238	Serine threonine-protein kinase
Symbiodinium5419	SNF2 family N-terminal domain
Symbiodinium36994	ubiquitin-protein transferase activity
Symbiodinium33977	Aldehyde dehydrogenase family
Symbiodinium38187	Beta-carotene isomerase D27
Symbiodinium30984	Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits
Symbiodinium28767	NAD-dependent histone deacetylase activity (H3-K18 specific)
Symbiodinium26400	structural constituent of ribosome
Symbiodinium43998	Aromatic amino acid permease
Symbiodinium30156	Coatomer (COPI) alpha subunit C-terminus
Symbiodinium28728	Insulinase (Peptidase family M16)
Symbiodinium51209	It is involved in the biological process described with protein phosphorylation
Symbiodinium51927	Calcium-dependent protein kinase
Symbiodinium23293	protein serine/threonine phosphatase activity
Symbiodinium9653	fucoxanthin chlorophyll a c protein
Symbiodinium17865	Rieske-like [2Fe-2S] domain
Symbiodinium25522	heat shock protein 70
Symbiodinium52058	oxidoreductase activity
Symbiodinium28875	Dynein light chain
Symbiodinium42826	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Symbiodinium29336	Phosphoribosylglycinamide synthetase, C domain
Symbiodinium14560	agmatinase activity
Symbiodinium49899	Ethanolamine-phosphate cytidylyltransferase-like
Symbiodinium17424	Belongs to the universal ribosomal protein uS17 family
Symbiodinium36728	RNA-binding protein
Symbiodinium12837	protein-disulfide reductase activity
Symbiodinium28668	protein disulfide oxidoreductase activity
Symbiodinium24372	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex
Symbiodinium45458	Multidrug resistance protein D
Symbiodinium22529	FAD binding
Symbiodinium21710	Exhibits S-adenosyl-L-methionine-dependent methyltransferase activity
Symbiodinium23558	Taurine catabolism dioxygenase TauD, TfdA family
Symbiodinium33372	This enzyme is required for electron transfer from NADP to cytochrome P450 in microsomes. It can also provide electron transfer to heme oxygenase and cytochrome B5
Symbiodinium36194	Flagellar microtugule protofilament ribbon protein
Symbiodinium16689	subfamily IA, variant 1
Symbiodinium52441	BTB/POZ domain
Symbiodinium23028	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA
Symbiodinium15234	Helicase associated domain (HA2)  Add an annotation
Symbiodinium11915	Belongs to the universal ribosomal protein uL13 family
Symbiodinium38178	camp-dependent protein kinase
Symbiodinium31120	Fumarase C-terminus
Symbiodinium70011	ammonium transmembrane transporter activity
Symbiodinium43210	beta-glucuronidase activity
Symbiodinium32547	Tetratricopeptide repeat
Symbiodinium21136	Serine/Threonine protein kinases, catalytic domain
Symbiodinium36102	belongs to the protein kinase superfamily
Symbiodinium41008	hydrolase activity, hydrolyzing O-glycosyl compounds
Symbiodinium39271	Belongs to the AAA ATPase family
Symbiodinium7384	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
Symbiodinium29139	CGMP-dependent protein kinase
Symbiodinium7677	protein-ribulosamine 3-kinase activity
Symbiodinium21311	Janus/Ocnus family (Ocnus)
Symbiodinium17467	Glutamine amidotransferases class-II
Symbiodinium46871	Non-specific serine threonine protein kinase
Symbiodinium9617	Reversible hydration of carbon dioxide
Symbiodinium72928	Belongs to the universal ribosomal protein uL13 family
Symbiodinium24690	p21-C-terminal region-binding protein
Symbiodinium19056	Belongs to the DHHC palmitoyltransferase family
Symbiodinium19693	serine threonine-protein phosphatase
Symbiodinium10878	Major Facilitator Superfamily
Symbiodinium37622	phosphoribosyl-ATP diphosphatase activity
Symbiodinium53682	ligase 1
Symbiodinium43917	mRNA binding protein pumilio
Symbiodinium15850	pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity
Symbiodinium24290	ATPase family associated with various cellular activities (AAA)
Symbiodinium49038	RING-type zinc-finger
Symbiodinium50219	Sugar (and other) transporter
Symbiodinium55844	methyltransferase activity
Symbiodinium21806	THUMP domain containing 2
Symbiodinium11475	3'(2'),5'-bisphosphate nucleotidase activity
Symbiodinium31252	Dipeptidase
Symbiodinium32551	maturation of LSU-rRNA
Symbiodinium54958	peptide-methionine (S)-S-oxide reductase activity
Symbiodinium19608	Acetyltransferase (GNAT) domain
Symbiodinium44462	N-terminal domain of galactosyltransferase
Symbiodinium36375	Protein phosphatase, Mg2 Mn2 dependent, 1Nb
Symbiodinium24762	NHL repeat
Symbiodinium53537	belongs to the protein kinase superfamily
Symbiodinium21844	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Symbiodinium35761	Source PGD
Symbiodinium54736	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Symbiodinium40986	protein binding, bridging
Symbiodinium58045	RNA recognition motif 2
Symbiodinium46645	Thioredoxin
Symbiodinium45257	Ubiquitously-expressed, prefoldin-like chaperone
Symbiodinium51222	glutathione transferase activity
Symbiodinium38011	Alkylglycerol monooxygenase
Symbiodinium52932	Diacylglycerol acyltransferase
Symbiodinium49650	EamA-like transporter family
Symbiodinium53755	aminoacylase activity
Symbiodinium41679	poly(A)-specific ribonuclease activity
Symbiodinium4744	Linear amide C-N hydrolases, choloylglycine hydrolase family
Symbiodinium6500	Belongs to the glycosyl hydrolase 2 family
Symbiodinium45918	-
Symbiodinium43097	Peptidyl-prolyl cis-trans isomerase
Symbiodinium33016	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)
Symbiodinium44762	Kelch motif family protein. Source PGD
Symbiodinium7057	Aminotransferase class I and II
Symbiodinium41647	DnaJ molecular chaperone homology domain
Symbiodinium30183	Cytochrome c1
Symbiodinium37588	metaphase/anaphase transition of mitotic cell cycle
Symbiodinium14201	Belongs to the peptidase M16 family
Symbiodinium31707	carbohydrate transport
Symbiodinium36390	PFAM AMP-dependent synthetase
Symbiodinium18769	helicase superfamily c-terminal domain
Symbiodinium12934	nucleotidase activity
Symbiodinium12661	Mannosyltransferase (PIG-M)
Symbiodinium19887	PFAM Acetyltransferase (GNAT) family
Symbiodinium19557	triosephosphate isomerase
Symbiodinium39931	14-3-3 homologues
Symbiodinium13523	Peptidase m28
Symbiodinium13078	positive regulation of ATP-dependent microtubule motor activity, plus-end-directed
Symbiodinium73205	it plays a direct role in the translocation of protons across the membrane
Symbiodinium32076	phosphatidylinositol dephosphorylation
Symbiodinium45211	Speckle-type POZ protein-like protein
Symbiodinium32297	RNA-binding protein mei2 homologue
Symbiodinium30847	Proposed nucleic acid binding domain
Symbiodinium18697	regulation of chaperone-mediated protein folding
Symbiodinium41580	Protein SGT1 homolog
Symbiodinium10406	Cysteine protease required for the cytoplasm to vacuole transport (Cvt) and autophagy
Symbiodinium5523	WD domain, G-beta repeat
Symbiodinium53117	SET domain
Symbiodinium40970	Responsible for synthesis of pseudouridine from uracil
Symbiodinium47197	-
Symbiodinium49161	-
Symbiodinium53043	cyclin-dependent protein serine/threonine kinase activity
Symbiodinium39619	Cullin family protein. Source PGD
Symbiodinium32618	Phosphatidylinositol 3- and 4-kinase
Symbiodinium48842	Alpha/beta hydrolase family
Symbiodinium26876	carbohydrate transmembrane transporter activity
Symbiodinium24747	TPR-repeat protein
Symbiodinium15115	Belongs to the MT-A70-like family
Symbiodinium39317	ubiquitin-protein transferase activity
Symbiodinium31546	glucose-6-phosphate 1-epimerase activity
Symbiodinium42313	Ubiquitin carboxyl-terminal hydrolase
Symbiodinium40033	cephalosporin hydroxylase
Symbiodinium38239	Belongs to the peptidase M18 family
Symbiodinium6947	Glycosyltransferase family 10 (fucosyltransferase) C-term
Symbiodinium7723	3',5'-cyclic-nucleotide phosphodiesterase activity. It is involved in the biological process described with signal transduction
Symbiodinium5886	ATP GTP binding protein like 2
Symbiodinium50283	RING-like zinc finger
Symbiodinium9112	RNA uridylyltransferase activity
Symbiodinium23636	polysaccharide catabolic process
Symbiodinium47690	Peptidase S24-like
Symbiodinium52216	sperm individualization
Symbiodinium7290	Adenylate and guanylate cyclase catalytic domain-containing protein
Symbiodinium43622	Tubulin-tyrosine ligase family protein
Symbiodinium27629	Histone H2a
Symbiodinium47081	Hydroxyproline-rich glycoprotein family protein
Symbiodinium47132	heat shock protein binding
Symbiodinium18857	Amino acid permease
Symbiodinium38567	Adenylyl- / guanylyl cyclase, catalytic domain
Symbiodinium31217	SNARE associated Golgi protein
Symbiodinium33171	to Saccharomyces cerevisiae PTC1 (YDL006W)
Symbiodinium14314	Dynamin family
Symbiodinium26895	Ankyrin repeat protein
Symbiodinium67927	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome
Symbiodinium46956	ubiquitin-specific protease activity involved in negative regulation of retrograde protein transport, ER to cytosol
Symbiodinium35420	Trypsin-like serine protease
Symbiodinium51800	Glycosyl hydrolase family 1
Symbiodinium28501	palmitoyl-(protein) hydrolase activity
Symbiodinium30791	Methylosome subunit pICln. Source PGD
Symbiodinium20784	ADP-ribosylation factor GTPase-activating protein
Symbiodinium10521	Region found in RelA / SpoT proteins
Symbiodinium14217	isocitrate lyase activity
Symbiodinium26302	AFG1-like ATPase
Symbiodinium35488	Tim44
Symbiodinium8141	DEAD DEAH box RNA helicase
Symbiodinium42092	Mitochondrial inner membrane protease subunit
Symbiodinium28019	Citrate synthase, C-terminal domain
Symbiodinium27348	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
Symbiodinium32698	Poly(ADP-ribose) polymerase catalytic domain
Symbiodinium7746	oxidoreductase activity
Symbiodinium31687	alpha beta
Symbiodinium14086	RNA recognition motif
Symbiodinium11726	acetyl-CoA carboxylase
Symbiodinium29991	N-alpha-acetyltransferase
Symbiodinium41341	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY
Symbiodinium37411	3',5'-cyclic-nucleotide phosphodiesterase activity
Symbiodinium20480	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Symbiodinium14871	homoserine dehydrogenase
Symbiodinium23271	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner
Symbiodinium31682	Phospholipid-translocating P-type ATPase C-terminal
Symbiodinium18524	translation
Symbiodinium9238	phosphoglycerate kinase activity
Symbiodinium16950	Tetratricopeptide repeat
Symbiodinium23625	peptide-aspartate beta-dioxygenase activity
Symbiodinium10114	calcium-dependent cysteine-type endopeptidase activity
Symbiodinium30517	NAD+ binding
Symbiodinium14296	procollagen-lysine 5-dioxygenase activity
Symbiodinium8092	Alpha amylase
Symbiodinium56050	Belongs to the PI3 PI4-kinase family
Symbiodinium9633	phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Symbiodinium38297	Enoyl-CoA hydratase isomerase
Symbiodinium12938	protein-L-isoaspartate O-methyltransferase
Symbiodinium52715	regulatory subunit
Symbiodinium22099	phosphomannomutase activity
Symbiodinium38943	peptide-aspartate beta-dioxygenase activity
Symbiodinium11429	Elongation factor 1-alpha. Source PGD
Symbiodinium35679	receptor
Symbiodinium10955	belongs to the protein kinase superfamily
Symbiodinium25994	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties
Symbiodinium43894	nitrile biosynthetic process
Symbiodinium55762	ATP-binding cassette transporter, subfamily D, member
Symbiodinium27991	cysteine-type endopeptidase activity
Symbiodinium23214	RNA polymerase III RPC4
Symbiodinium47473	ubiquitin-protein transferase activity
Symbiodinium51433	Hepatocyte growth factor receptor
Symbiodinium39013	Mre11 DNA-binding presumed domain
Symbiodinium39038	-
Symbiodinium46739	C-4 methylsterol oxidase activity
Symbiodinium26002	guanylate cyclase activity
Symbiodinium45763	Protein of unknown function (DUF1681)
Symbiodinium37006	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
Symbiodinium47593	Microtubule binding
Symbiodinium5198	Galactokinase galactose-binding signature
Symbiodinium6562	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines. Specifically modifies U20 and U20a in tRNAs
Symbiodinium30014	leading strand elongation
Symbiodinium40466	Glycosyl transferases group 1
Symbiodinium41177	ubiE/COQ5 methyltransferase family
Symbiodinium29811	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
Symbiodinium30890	poly ADP-ribose polymerase
Symbiodinium54150	D-isomer specific 2-hydroxyacid dehydrogenase catalytic region
Symbiodinium27551	Protein of unknown function (DUF667)
Symbiodinium20437	regulation of choline O-acetyltransferase activity
Symbiodinium8255	fatty-acyl-CoA binding
Symbiodinium12425	SMP-30/Gluconolaconase/LRE-like region
Symbiodinium8341	Trypsin
Symbiodinium31474	Persulfide dioxygenase ETHE1
Symbiodinium43146	protein import into mitochondrial matrix
Symbiodinium54359	zinc finger (CCCH type)
Symbiodinium35570	PFAM Sensors of blue-light using FAD
Symbiodinium22096	Serine threonine protein kinase
Symbiodinium24252	cobalamin synthesis CobW domain protein
Symbiodinium28312	RNA-binding protein mei2 homologue
Symbiodinium6542	Enoyl-(Acyl carrier protein) reductase
Symbiodinium60765	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Symbiodinium23076	EF-hand domain pair
Symbiodinium53427	phosphoacetylglucosamine mutase activity
Symbiodinium25385	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
Symbiodinium24479	PFAM major intrinsic protein
Symbiodinium14876	DEAD-like helicases superfamily
Symbiodinium38000	Chromate transporter
Symbiodinium33954	fatty acid amide hydrolase activity
Symbiodinium29349	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
Symbiodinium31196	tRNA binding
Symbiodinium23502	retrograde trans-synaptic signaling by lipid
Symbiodinium13871	Chlorophyll A-B binding protein
Symbiodinium50144	Stage II sporulation protein E (SpoIIE)
Symbiodinium51329	Mitogen-activated protein kinase kinase kinase
Symbiodinium50101	aldo-keto reductase (NADP) activity
Symbiodinium30463	Trifunctional purine biosynthetic protein
Symbiodinium13783	Protein tyrosine kinase
Symbiodinium27159	polyketide synthase
Symbiodinium14440	Trypsin-like peptidase domain
Symbiodinium14396	ribosomal protein
Symbiodinium17559	methanethiol oxidase activity
Symbiodinium54257	DnaJ domain protein
Symbiodinium55314	Functions in the early steps of protein synthesis of a small number of specific mRNAs. Acts by directing the binding of methionyl-tRNAi to 40S ribosomal subunits. In contrast to the eIF- 2 complex, it binds methionyl-tRNAi to 40 S subunits in a codon- dependent manner, whereas the eIF-2 complex binds methionyl-tRNAi to 40 S subunits in a GTP-dependent manner. May act by impiging the expression of specific proteins
Symbiodinium6696	Transglutaminase-like superfamily
Symbiodinium18384	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors
Symbiodinium34371	Nuclear pore associated protein
Symbiodinium9220	Golgi to vacuole transport
Symbiodinium12698	histone serine kinase activity
Symbiodinium44690	RNA 3'-terminal phosphate cyclase (RTC), insert domain
Symbiodinium33598	PIF1-like helicase
Symbiodinium54073	Methyltransferase domain
Symbiodinium55211	2OG-Fe(II) oxygenase superfamily
Symbiodinium8903	proton export across plasma membrane
Symbiodinium8418	DnaJ protein homolog
Symbiodinium8737	Rab subfamily of small GTPases
Symbiodinium13429	Serine/Threonine protein kinases, catalytic domain
Symbiodinium27294	Belongs to the eukaryotic ribosomal protein eL42 family
Symbiodinium27839	PFAM HPP family
Symbiodinium2067	carbohydrate binding
Symbiodinium30035	oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor
Symbiodinium39372	Cytokinin hydroxylase-like
Symbiodinium39454	Peroxidase
Symbiodinium39232	Ulp1 protease family, C-terminal catalytic domain
Symbiodinium29395	Peptidyl-prolyl cis-trans isomerase
Symbiodinium6389	Flavin containing amine oxidoreductase
Symbiodinium47625	SOUL heme-binding protein
Symbiodinium52565	Non-specific serine threonine protein kinase
Symbiodinium52279	cAMP-dependent protein kinase catalytic subunit
Symbiodinium14994	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Symbiodinium27722	Belongs to the peroxidase family
Symbiodinium54384	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Symbiodinium57188	exodeoxyribonuclease I activity
Symbiodinium11106	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine
Symbiodinium9728	Nitronate monooxygenase
Symbiodinium31544	Protein kinase, cGMP-dependent, type
Symbiodinium55894	2OG-Fe(II) oxygenase superfamily
Symbiodinium25455	Cephalosporin hydroxylase
Symbiodinium7658	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Symbiodinium53548	Belongs to the membrane-bound acyltransferase family
Symbiodinium27558	Belongs to the universal ribosomal protein uL22 family
Symbiodinium21176	ADP-ribosylglycohydrolase
Symbiodinium27002	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions
Symbiodinium36305	COG1064 Zn-dependent alcohol
Symbiodinium49852	serine threonine-protein kinase
Symbiodinium55710	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Symbiodinium68313	positive regulation of translational fidelity
Symbiodinium38232	RING-like zinc finger
Symbiodinium44057	riboflavin kinase activity
Symbiodinium43802	Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
Symbiodinium37065	Belongs to the AAA ATPase family
Symbiodinium28012	ribosomal protein
Symbiodinium30012	YGGT family
Symbiodinium28829	Pirin
Symbiodinium56530	Cytidine and deoxycytidylate deaminase zinc-binding region
Symbiodinium53348	RNA recognition motif
Symbiodinium49861	serine threonine protein kinase
Symbiodinium22830	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Symbiodinium33286	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Symbiodinium45142	Dual specificity phosphatase, catalytic domain
Symbiodinium10247	Modified RING finger domain
Symbiodinium8184	Coagulation factor 5/8 C-terminal domain, discoidin domain
Symbiodinium8345	Ubiquitin carboxyl-terminal hydrolase
Symbiodinium29714	May be involved in the calcium-mediated regulation of dynein motor function. Binds 1 mole of calcium
Symbiodinium42473	DNA topoisomerase
Symbiodinium28440	posttranslational protein targeting to membrane, translocation
Symbiodinium67402	polyketide synthase
Symbiodinium5706	Serine-threonine phosophatase 2C
Symbiodinium7443	Calcium-binding protein
Symbiodinium36368	tetratricopeptide repeat
Symbiodinium49938	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Symbiodinium39530	Aminotransferase, DegT DnrJ EryC1 StrS family protein
Symbiodinium39347	Belongs to the universal ribosomal protein uL14 family
Symbiodinium29235	branched-chain-amino-acid transaminase activity
Symbiodinium32599	ribosome production factor 2 homolog
Symbiodinium29432	glutathione transferase activity
Symbiodinium34100	to Saccharomyces cerevisiae MCA1 (YOR197W)
Symbiodinium7878	GTPase activity
Symbiodinium30683	Protein tyrosine kinase
Symbiodinium25913	Psort location Cytoplasmic, score 8.96
Symbiodinium24535	Protein kinase domain
Symbiodinium8662	Sigma factor PP2C-like phosphatases
Symbiodinium55234	phosphoesterases, related to the Icc protein
Symbiodinium10670	Regulatory subunit of S-adenosylmethionine synthetase 2, an enzyme that catalyzes the formation of S-adenosylmethionine from methionine and ATP. Regulates MAT2A catalytic activity by changing its kinetic properties, increasing its affinity for L- methionine
Symbiodinium44592	SMART Heat shock protein DnaJ
Symbiodinium7926	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
Symbiodinium19432	cellulose 1,4-beta-cellobiosidase activity
Symbiodinium45632	Amidohydrolase
Symbiodinium51658	Interferon-inducible GTPase
Symbiodinium19200	positive regulation of DNA-dependent DNA replication initiation
Symbiodinium29249	ADP-ribosylation factor family. Source PGD
Symbiodinium26925	2 iron, 2 sulfur cluster binding
Symbiodinium5779	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Symbiodinium43773	GTPase activity
Symbiodinium20585	SNARE associated Golgi protein
Symbiodinium37048	Belongs to the bacterial ribosomal protein bL20 family
Symbiodinium47514	ABC1 family
Symbiodinium41215	Tetratricopeptide repeats
Symbiodinium39027	AMMECR1
Symbiodinium22752	DNA repair metallo-beta-lactamase
Symbiodinium48147	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
Symbiodinium23260	structural constituent of ribosome
Symbiodinium9912	Ribosomal_L40e
Symbiodinium24156	Enoyl-(Acyl carrier protein) reductase
Symbiodinium5298	Heat shock protein
Symbiodinium54121	L-ascorbic acid binding
Symbiodinium13011	Leucyl/phenylalanyl-tRNA protein transferase
Symbiodinium28523	Integral membrane protein, TerC family
Symbiodinium31144	RNA recognition motif 2 family protein
Symbiodinium34221	RNA-binding protein mei2 homologue
Symbiodinium12635	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex. Source PGD
Symbiodinium49968	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Symbiodinium34965	Oxidoreductase molybdopterin binding
Symbiodinium50381	Rhodanese Homology Domain
Symbiodinium14069	AdoMet dependent proline di-methyltransferase
Symbiodinium23328	cytochrome p450
Symbiodinium42641	Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
Symbiodinium33634	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
Symbiodinium31171	Microtubule binding
Symbiodinium24336	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium38169	metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis
Symbiodinium26609	Interconversion of serine and glycine
Symbiodinium9425	Belongs to the DEAD box helicase family
Symbiodinium27486	Mitochondrial carrier protein
Symbiodinium54252	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Symbiodinium22100	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
Symbiodinium17911	ATP binding
Symbiodinium43574	Source PGD
Symbiodinium25433	transferase activity, transferring hexosyl groups
Symbiodinium5979	polyadenylation-dependent snoRNA 3'-end processing
Symbiodinium14764	Myosin heavy chain kinase. Source PGD
Symbiodinium48104	Rhodanese Homology Domain
Symbiodinium38560	PPPDE putative peptidase domain
Symbiodinium33690	fructose-bisphosphate aldolase activity
Symbiodinium50588	Calcium-dependent protein kinase
Symbiodinium15984	FATC
Symbiodinium42408	Mitochondrial ribosomal protein L27
Symbiodinium33059	Phospholipase B
Symbiodinium32419	Translocation protein Sec62
Symbiodinium49313	Belongs to the mitochondrial carrier (TC 2.A.29) family
Symbiodinium51460	5' nucleotidase family
Symbiodinium21955	Ankyrin repeat
Symbiodinium20710	Belongs to the peptidase A1 family
Symbiodinium36493	positive regulation of protein tyrosine phosphatase activity
Symbiodinium11781	mRNA processing
Symbiodinium6798	Spizellomyces punctatus DAOM BR117
Symbiodinium39595	domain present in cyclins, TFIIB and Retinoblastoma
Symbiodinium26558	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex
Symbiodinium30412	WD40 repeats
Symbiodinium13803	ATP binding
Symbiodinium53477	SMP-30/Gluconolaconase/LRE-like region
Symbiodinium45604	Calponin homology domain
Symbiodinium37233	Kelch motif
Symbiodinium6861	rna exonuclease
Symbiodinium36185	Si dkey-175m17.7
Symbiodinium38144	GMP-PDE, delta subunit
Symbiodinium24626	Belongs to the actin-binding proteins ADF family
Symbiodinium23290	oxidation-reduction process
Symbiodinium10230	Ubiquitin homologues
Symbiodinium28118	Binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function
Symbiodinium45581	FAD binding domain of DNA photolyase
Symbiodinium46233	DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate
Symbiodinium29194	PRP38 family
Symbiodinium7644	DUF4217
Symbiodinium12689	alkylated DNA
Symbiodinium27365	Ribosomal protein S14p/S29e
Symbiodinium33491	EXOIII
Symbiodinium13138	Small nuclear ribonucleoprotein
Symbiodinium54567	HD domain
Symbiodinium20891	DEAD DEAH box RNA helicase. Source PGD
Symbiodinium48733	Converts O-phosphoseryl-tRNA(Sec) to selenocysteinyl- tRNA(Sec) required for selenoprotein biosynthesis
Symbiodinium7355	negative regulation of inclusion body assembly
Symbiodinium39644	protein serine/threonine kinase activity
Symbiodinium40041	protein polyglycylation
Symbiodinium7863	-
Symbiodinium52349	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
Symbiodinium22234	DnaJ domain protein
Symbiodinium28739	Acetolactate synthase
Symbiodinium55412	Protein kinase C conserved region 2 (CalB)
Symbiodinium41186	Protein kinase domain
Symbiodinium27611	Cyclin_C
Symbiodinium12657	-
Symbiodinium40377	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Symbiodinium30817	Belongs to the cytochrome P450 family
Symbiodinium51013	zinc ion transmembrane transporter activity
Symbiodinium47713	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium16368	voltage-gated potassium channel subunit beta
Symbiodinium9183	double-stranded DNA 5'-3' exodeoxyribonuclease activity
Symbiodinium27582	aspartic-type endopeptidase activity
Symbiodinium24471	O-methyltransferase
Symbiodinium19810	tRNA-intron endonuclease activity
Symbiodinium50221	Pyruvate dehydrogenase kinase
